faostat,m49_code,country_name_en,item_code,item,year,yield_kg_ha,yield_kg_ha_flag,production_tonnes,production_tonnes_flag,area_harvested_ha,area_harvested_ha_flag
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2011,,,117.400000,I,172.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1965,,,500.000000,E,500.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1979,,,950.000000,E,1100.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1998,,,150.000000,E,160.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2008,,,7390.550000,I,10646.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1993,,,12000.000000,E,12057.000000,A
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1987,,,4700.000000,E,4698.000000,A
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1984,,,2800.000000,E,2773.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1982,,,2500.000000,E,3600.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2003,,,4250.000000,E,5200.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2016,,,5255.890000,I,5793.000000,I
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1976,,,2190.000000,A,3200.000000,E
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2017,,,5191.640000,I,5687.000000,I
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2022,,,5327.990000,I,5681.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1972,,,2536.000000,A,2560.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2020,,,4008.700000,I,4084.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1979,,,3900.000000,A,3800.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2001,,,18473.000000,A,16802.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2003,,,20508.000000,A,17094.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1980,,,37100.000000,A,25700.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2005,,,22000.000000,E,17500.000000,E
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1996,,,33416.000000,A,22176.000000,A
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1968,,,10500.000000,X,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1982,,,11600.000000,E,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1992,,,10423.790000,I,19003.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2009,,,5259.910000,I,11185.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2012,,,4000.000000,E,8600.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1970,,,10500.000000,E,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1996,,,9056.850000,I,17170.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1991,,,11500.000000,E,20766.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2009,,,3900.000000,E,3101.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1988,,,3448.000000,A,3017.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1974,,,0.000000,A,0.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1998,,,2100.000000,E,2400.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2014,,,4248.910000,I,3139.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2003,,,2300.000000,E,2700.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2021,,,4580.650000,I,3356.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1967,,,0.000000,A,0.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2007,,,2439.830000,I,4085.000000,I
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2020,,,1572.070000,E,3822.000000,E
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1986,,,4628.000000,A,8071.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1987,,,7250.000000,A,9940.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2017,,,1533.360000,I,3858.000000,E
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1980,,,7376.000000,A,8626.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1966,,,3300.000000,A,5000.000000,A
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1981,,,950.000000,E,1100.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1996,,,140.000000,E,150.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1994,,,120.000000,E,132.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",2018,,,121.910000,I,212.000000,I
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1964,,,500.000000,E,500.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1963,,,500.000000,E,500.000000,E
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1985,,,350.000000,E,400.000000,E
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1983,,,4800.000000,E,4766.000000,A
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2019,,,5954.300000,I,13248.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2005,,,8923.850000,I,10459.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",2006,,,7899.680000,I,10170.000000,I
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1991,,,12100.000000,E,12157.000000,A
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1990,,,12000.000000,E,12035.000000,A
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1979,,,,M,,M
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1992,,,7100.000000,E,7192.000000,A
138,484,Mexico,800,"Agave fibres, raw, n.e.c.",1994,,,15700.000000,E,15743.000000,A
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",2014,,,5486.510000,I,5959.000000,I
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1998,,,4044.390000,I,4976.000000,I
157,558,Nicaragua,800,"Agave fibres, raw, n.e.c.",1993,,,3700.000000,E,4600.000000,E
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1998,,,3990.910000,I,3864.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",2021,,,3992.010000,I,4154.000000,I
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1985,,,3328.000000,A,3150.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1962,,,2450.000000,A,2990.000000,A
171,608,Philippines,800,"Agave fibres, raw, n.e.c.",1981,,,3758.000000,A,3280.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1976,,,42000.000000,A,28000.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2009,,,18624.220000,I,17724.000000,I
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2021,,,14920.430000,E,19573.000000,I
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2017,,,14869.020000,I,18949.000000,I
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2002,,,19884.000000,A,17391.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2019,,,14590.870000,I,19445.000000,I
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1984,,,23730.000000,A,17980.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1979,,,33800.000000,A,23500.000000,A
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2013,,,16000.000000,E,17500.000000,E
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",1991,,,35080.000000,A,17096.000000,A
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2011,,,4726.630000,I,10148.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1973,,,10700.000000,E,10000.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1989,,,3571.000000,A,3207.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2004,,,4963.000000,A,2754.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1992,,,2426.000000,A,2310.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2011,,,3906.460000,I,3063.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2000,,,2310.000000,E,2600.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1994,,,2253.020000,I,2000.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1970,,,0.000000,A,0.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1975,,,4189.000000,A,6294.000000,A
